index,season.episode,episode_name,text,total_votes,air_date,director,writer,character,director_index,writer_index,character_index,ave_emotion,ave_sentiment,ave_profanity,imdb_rating
13,1.1,Pilot,"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,31,41,19,0.011029412,0.48507125,0,8.2
14,1.1,Pilot,You haven't told me.,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,31,41,23,0.020833333,0.183333333,0,8.2
42,1.1,Pilot,Do you want to look at mine?,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,31,41,13,0,0,0,8.2
49,1.1,Pilot,All the alarm bells are kind of going... ringie-dingie-ding!,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,31,41,19,0,0,0,8.2
56,1.1,Pilot,Packman.,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michel,31,41,32,0,0,0,8.2
62,1.1,Pilot,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,31,41,19,0.003289474,0.096464626,0,8.2
78,1.1,Pilot,Guilty! Guilty as charged!,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,31,41,19,0.015988372,-0.059533704,0,8.2
82,1.1,Pilot,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go. I'm Hitler. Adolf Hitler.",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,31,41,19,0.006944444,0.447834295,0,8.2
110,1.1,Pilot,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Dwight,31,41,9,0,0,0,8.2
113,1.1,Pilot,"Please, OK? Do you want me to tell 'em?",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Dwight,31,41,9,0,0,0,8.2
120,1.1,Pilot,"Yeah but Michael, what if they downsize here?",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Oscar,31,41,22,0,0.145516355,0,8.2
128,1.1,Pilot,"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it.",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,31,41,19,0.024038462,0.013867505,0,8.2
132,1.1,Pilot,Are you sure about that?,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Man,31,41,32,0.028846154,-0.208012574,0,8.2
134,1.1,Pilot,"Pam, information is power.",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Dwight,31,41,9,0.025,-0.070472267,0,8.2
139,1.1,Pilot,"Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,31,41,19,0,-0.157526075,0,8.2
146,1.1,Pilot,"New engine, new suspension, I got a respray. I've got some photos.",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Dwight,31,41,9,0.004807692,0,0,8.2
147,1.1,Pilot,Damn it! Jim!,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Dwight,31,41,9,0,-0.178885438,0,8.2
157,1.1,Pilot,How do you know it was me?,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jim,31,41,14,0,0.277350098,0,8.2
161,1.1,Pilot,"And yeah, Jim this is the time to stop putting Dwight's personal effects into Jell-O.",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,31,41,19,0,0.707106781,0,8.2
170,1.1,Pilot,That's why we're all going out. So we can have an end-of-the-week-drink.,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jim,31,41,14,0,0,0,8.2
186,1.1,Pilot,Just tell her I'll talk to her later.,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Roy,31,41,26,0.00462963,0.048112522,0,8.2
195,1.1,Pilot,"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,31,41,19,0,0,0,8.2
